SaleDate,UnitOfMeasureName,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
12/17/2021,Each,Suppository,100,1,100,0,0,1,1
9/19/2021,Milligrams,Concentrate,150,0,0,2000,150,2000,2
10/22/2021,Each,Infused (non-edible),23025.96,597.5,23025.96,0,0,597.5,521
6/24/2022,Grams,Shake/Trim,14423.47,0,0,2977,14423.47,2977,344
4/15/2022,Grams,Concentrate (Bulk),520.3,0,0,9,520.3,9,9
11/2/2021,Grams,Shake/Trim,2106.14,0,0,346,2106.14,346,28
6/12/2021,Grams,Buds,1889369.88,0,0,134812.25,1889369.88,134812.25,35042
6/9/2021,Grams,Shake/Trim (by strain),33099.12,0,0,4393,33099.12,4393,836
2/24/2021,Each,Infused (non-edible),12087.93,447,12087.93,0,0,447,323
4/10/2019,Grams,Concentrate,3939.26,0,0,50.94,3939.26,50.94,48
5/17/2021,Grams,Infused Pre-Rolls,11618.26,0,0,448.41,11618.26,448.41,399
12/13/2021,Grams,Kief,3849.59,0,0,141,3849.59,141,121
1/7/2021,Each,Vape Product,494011.56,8586,494011.56,0,0,8586,7457
5/18/2022,Grams,Kief,3074.38,0,0,112,3074.38,112,104
4/12/2022,Grams,Shake/Trim,2758.33,0,0,441.3,2758.33,441.3,33
12/22/2022,Grams,Raw Pre-Rolls,914058.04,0,0,86950.63,914058.04,86950.63,51790
7/19/2023,Each,Infused Beverage,37016.61,5052,37016.61,0,0,5052,2616
7/17/2019,Grams,Shake/Trim (by strain),3428.33,0,0,295.2,3428.33,295.2,183
6/4/2022,Grams,Buds,1775257.54,0,0,164917.61,1775257.54,164917.61,35824
1/12/2022,Grams,Shake/Trim,1315,0,0,210.6,1315,210.6,17
2/25/2022,Each,Concentrate (Each),157987.1,3470,157987.1,0,0,3470,3101
11/7/2019,Each,Infused (non-edible),8724.98,223,8724.98,0,0,223,195
1/20/2022,Grams,Infused Pre-Rolls,35932.62,0,0,1236.6,35932.62,1236.6,1141
3/7/2019,Grams,Buds,311356.89,0,0,21581.62,311356.89,21581.62,8477
12/31/2021,Milligrams,Raw Pre-Rolls,80.04,0,0,6000,80.04,6000,11
5/3/2021,Grams,Raw Pre-Rolls,362978.97,0,0,24224.65,362978.97,24224.65,16971
10/17/2020,Each,Concentrate (Each),230575.58,4382,230575.58,0,0,4382,3797
11/14/2020,Grams,Infused Pre-Rolls,10725.82,0,0,460.65,10725.82,460.65,416
