SaleDate,ProductCategoryName,UnitOfMeasureName,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,TotalPrice
3/30/2022,Infused (edible),Each,5775,145647.38,0,0,5775,145647.38
5/12/2022,Shake/Trim (by strain),Grams,0,0,1295.6,6819.15,1295.6,6819.15
8/13/2023,Kief,Grams,0,0,26,350.98,26,350.98
7/14/2019,Raw Pre-Rolls,Grams,0,0,2323.4,24440.76,2323.4,24440.76
12/23/2022,Infused (non-edible),Each,225,6281.25,0,0,225,6281.25
5/15/2023,Shake/Trim (by strain),Grams,0,0,3409,9542.63,3409,9542.63
7/19/2022,Infused Beverage,Each,964,7294.4,0,0,964,7294.4
6/2/2022,Raw Pre-Rolls,Grams,0,0,11247.25,100141.47,11247.25,100141.47
1/3/2022,Raw Pre-Rolls,Grams,0,0,7119.95,79801.05,7119.95,79801.05
4/19/2022,Infused (non-edible),Each,167,4653.79,0,0,167,4653.79
4/28/2020,Concentrate,Grams,0,0,199,10715.3,199,10715.3
2/16/2019,Concentrate (Each),Each,287,12449.75,0,0,287,12449.75
10/4/2020,Buds,Grams,0,0,28165.79,305605.36,28165.79,305605.36
12/6/2018,Concentrate (Each),Each,232,9403.8,0,0,232,9403.8
10/4/2022,Infused (non-edible),Each,78,2609.02,0,0,78,2609.02
1/14/2019,Infused (edible),Each,312,10179.13,0,0,312,10179.13
4/20/2021,Shake/Trim,Grams,0,0,777,3241.82,777,3241.82
6/25/2023,Infused (non-edible),Each,105,2988.81,0,0,105,2988.81
7/28/2023,Concentrate,Milligrams,0,0,1000,53.56,1000,53.56
8/30/2023,Buds,Grams,0,0,42645.16,232558.52,42645.16,232558.52
9/16/2019,Infused (edible),Each,2364,66609.17,0,0,2364,66609.17
9/9/2022,Shake/Trim (by strain),Grams,0,0,2887.9,12282.94,2887.9,12282.94
7/11/2022,Raw Pre-Rolls,Grams,0,0,8414.3,84357.31,8414.3,84357.31
1/26/2022,Infused (edible),Each,5137,116107.4,0,0,5137,116107.4
12/8/2018,Buds,Each,98,1618.83,0,0,98,1618.83
6/15/2022,Infused (non-edible),Each,115,3494.89,0,0,115,3494.89
7/6/2021,Vape Product,Each,2350,113556.57,0,0,2350,113556.57
